studentNr,type,gradesTotal,gradeX,gradeY,valueR,valueA
2,Contributions,3.505,4,4,0,0
3,Contributions,-1,-1,-1,66.66666667,30
4,Contributions,3.029,3.5,4,2.222222222,1
5,Contributions,3.679,3.777777778,4,2.222222222,1
7,Contributions,3.474,4,4,26.66666667,12
8,Contributions,3.705,3.333333333,4,100,45
9,Contributions,3.806,3.777777778,3.666666667,44.44444444,20
10,Contributions,3.667,3.777777778,4,57.77777778,26
12,Contributions,3.245,2.583333333,2.333333333,13.33333333,6
14,Contributions,3.293,3.888888889,3.666666667,35.55555556,16
15,Contributions,2.815,3.333333333,3.666666667,11.11111111,5
16,Contributions,3.373,4,4,6.666666667,3
17,Contributions,3.476,3.333333333,4,57.77777778,26
18,Contributions,3.474,3.333333333,3.333333333,13.33333333,6
19,Contributions,3.947,3.777777778,3.333333333,44.44444444,20
20,Contributions,-1,-1,-1,4.444444444,2
22,Contributions,3.889,3.916666667,4,31.11111111,14
23,Contributions,-1,-1,-1,4.444444444,2
24,Contributions,2.987,3.222222222,3.333333333,8.888888889,4
25,Contributions,2.765,3.333333333,3.666666667,2.222222222,1
27,Contributions,3.719,3.333333333,3,15.55555556,7
30,Contributions,3.93,3.916666667,4,51.11111111,23
31,Contributions,-1,-1,-1,33.33333333,15
32,Contributions,3.826,3.888888889,4,11.11111111,5
33,Contributions,2.815,2.777777778,4,62.22222222,28
34,Contributions,-1,-1,-1,0,0
35,Contributions,-1,-1,-1,0,0
36,Contributions,-1,-1,-1,8.888888889,4
39,Contributions,-1,-1,-1,6.666666667,3
41,Contributions,3.652,3.777777778,4,60,27
42,Contributions,-1,-1,-1,2.222222222,1
43,Contributions,3.79,4,4,60,27
44,Contributions,-1,-1,-1,0,0
45,Contributions,-1,-1,-1,0,0
46,Contributions,3.646,1.111111111,4,31.11111111,14
47,Contributions,-1,-1,-1,2.222222222,1
49,Contributions,3.625,3.777777778,4,22.22222222,10
50,Contributions,-1,-1,-1,22.22222222,10
51,Contributions,-1,-1,-1,86.66666667,39
52,Contributions,2.4,1,0,0,0
53,Contributions,-1,-1,-1,0,0
54,Contributions,3.343,3.444444444,4,6.666666667,3
56,Contributions,-1,-1,-1,0,0
57,Contributions,3.389,2.666666667,4,37.77777778,17
58,Contributions,-1,-1,-1,4.444444444,2
59,Contributions,3.519,3.555555556,3.666666667,22.22222222,10
