studentNr,type,gradesTotal,gradeX,gradeY,valueR,valueA
1,Deadlines,2.863,1.777777778,3,32.25806452,10
2,Deadlines,3.505,4,4,38.70967742,12
3,Deadlines,-1,-1,-1,48.38709677,15
4,Deadlines,3.029,3.5,4,22.58064516,7
5,Deadlines,3.679,3.777777778,4,54.83870968,17
7,Deadlines,3.474,4,4,64.51612903,20
8,Deadlines,3.705,3.333333333,4,58.06451613,18
9,Deadlines,3.806,3.777777778,3.666666667,22.58064516,7
10,Deadlines,3.667,3.777777778,4,58.06451613,18
12,Deadlines,3.245,2.583333333,2.333333333,87.09677419,27
13,Deadlines,-1,-1,-1,35.48387097,11
14,Deadlines,3.293,3.888888889,3.666666667,80.64516129,25
15,Deadlines,2.815,3.333333333,3.666666667,41.93548387,13
16,Deadlines,3.373,4,4,48.38709677,15
17,Deadlines,3.476,3.333333333,4,38.70967742,12
18,Deadlines,3.474,3.333333333,3.333333333,77.41935484,24
19,Deadlines,3.947,3.777777778,3.333333333,87.09677419,27
20,Deadlines,-1,-1,-1,48.38709677,15
22,Deadlines,3.889,3.916666667,4,45.16129032,14
23,Deadlines,-1,-1,-1,35.48387097,11
24,Deadlines,2.987,3.222222222,3.333333333,61.29032258,19
25,Deadlines,2.765,3.333333333,3.666666667,35.48387097,11
27,Deadlines,3.719,3.333333333,3,64.51612903,20
30,Deadlines,3.93,3.916666667,4,83.87096774,26
31,Deadlines,-1,-1,-1,38.70967742,12
32,Deadlines,3.826,3.888888889,4,80.64516129,25
33,Deadlines,2.815,2.777777778,4,90.32258065,28
34,Deadlines,-1,-1,-1,35.48387097,11
35,Deadlines,-1,-1,-1,35.48387097,11
41,Deadlines,3.652,3.777777778,4,45.16129032,14
42,Deadlines,-1,-1,-1,35.48387097,11
44,Deadlines,-1,-1,-1,48.38709677,15
45,Deadlines,-1,-1,-1,35.48387097,11
46,Deadlines,3.646,1.111111111,4,54.83870968,17
47,Deadlines,-1,-1,-1,48.38709677,15
50,Deadlines,-1,-1,-1,48.38709677,15
51,Deadlines,-1,-1,-1,35.48387097,11
52,Deadlines,2.4,1,0,51.61290323,16
53,Deadlines,-1,-1,-1,22.58064516,7
54,Deadlines,3.343,3.444444444,4,100,31
57,Deadlines,3.389,2.666666667,4,48.38709677,15
58,Deadlines,-1,-1,-1,22.58064516,7
