studentNr,type,gradesTotal,gradeX,gradeY,valueR,valueA
1,Views,2.863,1.777777778,3,97.07792208,299
2,Views,3.505,4,4,97.07792208,299
3,Views,-1,-1,-1,85.06493506,262
4,Views,3.029,3.5,4,32.79220779,101
5,Views,3.679,3.777777778,4,97.72727273,301
7,Views,3.474,4,4,65.25974026,201
8,Views,3.705,3.333333333,4,100,308
9,Views,3.806,3.777777778,3.666666667,55.51948052,171
10,Views,3.667,3.777777778,4,97.4025974,300
12,Views,3.245,2.583333333,2.333333333,41.23376623,127
14,Views,3.293,3.888888889,3.666666667,84.09090909,259
15,Views,2.815,3.333333333,3.666666667,60.71428571,187
16,Views,3.373,4,4,65.25974026,201
17,Views,3.476,3.333333333,4,99.35064935,306
18,Views,3.474,3.333333333,3.333333333,90.25974026,278
19,Views,3.947,3.777777778,3.333333333,97.72727273,301
20,Views,-1,-1,-1,58.76623377,181
22,Views,3.889,3.916666667,4,73.37662338,226
23,Views,-1,-1,-1,73.37662338,226
24,Views,2.987,3.222222222,3.333333333,48.37662338,149
25,Views,2.765,3.333333333,3.666666667,49.35064935,152
27,Views,3.719,3.333333333,3,97.07792208,299
30,Views,3.93,3.916666667,4,95.45454545,294
31,Views,-1,-1,-1,97.72727273,301
32,Views,3.826,3.888888889,4,97.07792208,299
33,Views,2.815,2.777777778,4,94.15584416,290
34,Views,-1,-1,-1,51.94805195,160
35,Views,-1,-1,-1,30.51948052,94
36,Views,-1,-1,-1,16.88311688,52
39,Views,-1,-1,-1,9.415584416,29
41,Views,3.652,3.777777778,4,76.62337662,236
42,Views,-1,-1,-1,28.57142857,88
43,Views,3.79,4,4,83.44155844,257
44,Views,-1,-1,-1,23.05194805,71
45,Views,-1,-1,-1,10.71428571,33
46,Views,3.646,1.111111111,4,98.05194805,302
47,Views,-1,-1,-1,6.818181818,21
49,Views,3.625,3.777777778,4,79.22077922,244
50,Views,-1,-1,-1,38.96103896,120
52,Views,2.4,1,0,67.53246753,208
53,Views,-1,-1,-1,94.80519481,292
54,Views,3.343,3.444444444,4,47.72727273,147
56,Views,-1,-1,-1,0,0
57,Views,3.389,2.666666667,4,97.07792208,299
58,Views,-1,-1,-1,43.83116883,135
59,Views,3.519,3.555555556,3.666666667,98.05194805,302
